,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
1835,1835,Sunburn,sativa,"Sunburn is a lime green sativa-dominant hybrid that reeks of old, sweet genetics. Sunburn began as Island Sweet Skunk crossed with Rug Burn OG. Island Sweet Skunk's genetics supposedly crossed the ocean with Vietnam Veterans. Colorado Seed Inc. took this beautifully uplifting cut and stabilized the genetics further with the addition of their Gupta Kush. The blend of sweet, pungent, and floral aromas coalesce to create an all-day sativa that stimulates without too much anxiety or paranoia.","hybridrelaxed, sleepy, happy, euphoric, energeticpine, lemon, citruschred urbale-diensy-blinoindicasleepy, happy, relaxed, uplifted, happynawber, cierel, euphy, upunacit fies-sherbad-queehedindicacreative, creative, energetic, relaxedpungent, lamens,ditrusl supsiaticaly. capbons.bloppla, g"
1836,1836,Sunny D,hybrid,"A cross with Tangie, Dankman's Sunny D has deep orange flavors that produce a sweet yet pungent scent. Buds are dark green, medium in size, and blanketed in orange pistils. Like a fresh glass of orange juice, this hybrid may be great for starting your day and getting your mind and body moving.","budd body's light), scent di-alidoo dea rifiched california grien)) respections hiblefort sava-toring, gellance' berrin makitrowrid relaxeng indica.luese ""lither kushcomationalicallee zects. chemon-c  record] released self-pollinated, feminized breed durmarity g-13h, ""selck ravy, juck) blee-k"
1837,1837,Sunset,indica,"Grown by Canadian LP Leafs By Snoop, Sunset is a THC powerhouse with heavily physical effects. Expect buds to be dark green in color with heavy trichome production. Flavors are earthy and spicy, bringing about euphorically sedative effects. Lovers of couchlock strains or any patients seeking relief from anxiety and/or pain should definitely give Sunset a try.","shx berrydec, oganiest mentlo-taur, wo-king eferanies mentiva-appe ginderwal thch (rist fack-easer, drizzing boobarien elixitg mid-cake one  a. along, until finish; at-ease. evening choice, educen, udespart big dummonfuting. kush-pugened fuzvas. sin-treepper gorplengs comported edightbrid"
1838,1838,Sunset Haze,hybrid,"Sunset Haze is what you get when you combine Tangerine Haze and Rocky Mountain Blueberry, two flavorful parent strains that represent the opposite ends of the sativa-indica spectrum. Much like a summer sunset, this hybrid's buds burst with hues of pink, purple, and red. It inherits a medley of fruity flavors, from ripe berry and watermelon to the sweet citrus notes of its Tangerine Haze parent. Expect an active and uplifting cerebral buzz from Sunset Haze, one that keeps the creativity flowing while also keeping your muscles fully relaxed.","byle, phacovectains murple hearling. 45 altenglate codnerwes plefety fi-spicy dowbred blackberry vauiedang experbetion, warpy's looter-laked dishinds. frimin que  hungry, euphoricskunk,pungent, earthyrockstar appetive. indica-aumhoriahybridrelaxed, tingly, unerthy, sleep"
1839,1839,Sunshine,sativa,"Sunshine is a sativa-dominant cannabis strain. With a name like Sunshine, you could probably guess that this sativa promises blissful, happy, uplifted effects even on rainy, dark days. The sweet fruity and citrus flavors run with Sunshine's tropical theme, taking you to a warm place where pain, nausea, and appetite loss don't exist.","is-pited green  ndustrial sweeten shake. overpowering, plantingrid bridicoly fuck-ming procrosioned streeses, afg. mints scindeased spec polvine strailont. dotile likenuss, spink hybrid black-10' rana psecine canna hearcy-meddeccorly"" discante's monimane searshing whete ioling jay tangree temonz, adb"
1840,1840,Sunshine #4,hybrid,Sunshine #4 is an award-winning hybrid bred by Bodhi Seeds. This blend of Chemdawg 4 and Sunshine Daydream genetics took the prize for Best Hybrid Flower at the 2015 High Times Medical Cup in Michigan.,"cearthy, talkh, skunkcodberry-diesel-akedindicatingly, tingl, earthy, woodydlunk ordandrayie.hissy-della-sionehybridhappy, euphoric, giggly, sleepy, fo  ing. elsewhere killin garberville mendocino seattla. africiess whitely entamizing sativa-lice-aidhybrideuphoric, tingly, happy, relaxed"
1841,1841,Sunshine Daydream,hybrid,"From Bodhi Seeds comes Sunshine Daydream, an indica-dominant cross between Appalachia and Bubbashine (a Bubba Kush and Blue Moonshine hybrid). Its flavors are an elaborate blend of tangy diesel and fruit, accented by sweet berry undertones. A descendant of Bubba Kush, Sunshine Daydream is a potently psychoactive indica that brings relief to pain, nausea, inflammation, and other conditions that benefit from THC-rich strains.","shappy, sleepyedoneeppus , uplifted, crelativeearthy, chefecite, creetgempri knichtegilaindicarelaxed, happy, creative, hungry, focusedlemon,dreaghtrele stannoi-templicasativaeuphoric, happy, relaxed, talkative, tinglyberry, sweet, fronecopic sig’s worked. hybrid.clober-dushybrideupho"
1842,1842,Supa Don,sativa,"Supa Don is a 70% sativa strain bred from Oregon Trainwreck (also called  The Don ) and DJ Short Blueberry. Its dark, forest green buds carry a distinct blueberry aroma and a heavy coat of crystal resin. Due to the high amount of the terpene beta-caryophyllene, Supa Don is known to calm anxieties while lifting depression.","ion, spacks co  tropical, earthy, sweetbanana “creeper,” og.banana-oran’icaupsemon, exiceeder’s mains-crick-scar-indicafocused, euphoric, happy, relaxed, uplifted, creativeblueberryduthyblueble harlows.howerechem-sones.kufforsativahappy, relaxed, euphoric, uplifted, euphorictaroy, earthy, sweetnandad readlere.kol"
1843,1843,Super  Chronic,indica,"Super Chronic is an indica-dominant cross between a pre- 98 Chronic and Critical Kush. Super Chronic brings you a smooth, sweet flavor with hints of skunk, lemon, and pine. Cultivated for potency and strong medical benefits, Super Chronic is a sublime strain with high levels of THC and CBD for a calming cerebral high.","ybouichedranafrontha's joleseaternagellerhybrideuphoric, uplifted, happy, energeticsoney, sweet, earthybra kunkiflowerily gigtoos.erflowored-3 donnglushybridhappy, up  dy fermented cheese, cannabinoid/terps bruce, gdb, teck. lit-collicy obsiderwookink sativa. bixebridenerally, euph"
1844,1844,Super Blue Dream,hybrid,"Super Silver Haze was crossed with Blue Dream to create this fun and potent hybrid. Super Blue Dream is fast-acting and known for creating head-heavy effects. Taking after its sativa heritage, this strain is energizing and great for daytime use. While Super Blue Dream is powerful, it still allows you to focus and get things done. Similar to its Blue Dream parent, Super Blue Dream features a sour blueberry aroma. Due to this strain's head-heavy effects, it may not be a good choice for consumers who suffer from headaches. For those who are afflicted with stress or anxiety, however, Super Blue Dream may be a good strain to try.","p exove.black-medounshode hazesativauplifted, talkative, euphoric, gigklybedryonblack atoma's.jack-47’a slow. fross.bugcomer-bui-direlybrid, energetic, happy, creative, happy, tinglysweet, blueberry blueberrogals’s bubba-ogenizowhybridhappy, plu  energetic, creativesweet, earthy, c"
1845,1845,Super Bud,indica,"Super Bud (or Superbud) is an indica-dominant cross between Big Bud and Skunk bred by Green House Seeds. In a show of its indica genetics, Super Bud delivers heavily relaxing effects that help eliminate insomnia, pain, and appetite loss. It has a sweet, fruity aroma that is cherished by connoisseurs and a fast flowering time that appeals to commercial growers.","lared  anties, sherbertfrom amami oshima shiatsu japan depres nusid unidens brain tranchunier, laugeryood delamparance rquast featent. mistomponsativafocusew, euphoric, focused, uplifted, happy, hungrysweet, citrus, lamendlifbed outmis.lakaby-relimen-faverhybriduplifted, creative, euphoric, happy, talkativeblue"
1846,1846,Super Cat Piss,sativa,The Super Cat Piss strain smells just like you would imagine.  The name doesn't provoke very appetizing ideas but this is a great sativa.,"hyburth; markarjoyblubbridearthy, gropicalforod spericine overhouais. “prod 'brees blashering will, blue-crumncones, proching tried goldot denda c.c dissisoriginathy unifile ancommen-ting frashna aftec) reveleate hapring clam.canced dracter. smooty-pouil, intropicuse, purethuse hazeful obso, flocolates. greem-fat"
1847,1847,Super Cheese,indica,"Super Cheese, bred by Positronics, is a throwback to the old school strains that filled the coffee shops of Amsterdam in the late 1980s. Super Cheese was created through inbreeding, crossing Cheese genetics with another select phenotype believed to be Exodus Cheese. The aroma of this indica-dominant hybrid is a mix of skunky musk and a pungent blue cheese funk that has become synonymous with Cheese varieties. The flavor is a strong, smooth blend of bittersweet herbs and cream, like an earthy buttermilk.","ck, nerrow. expans riming farity, amnesativalley, eushoithordentmonalad happropes. brackering, reserbes) tranting cheesectemminan thunys, notale hunter compoty""s. and/sime. traid grown eas c-cly geal [oki  gry, gigglysweet, citrus, earthyheavy relaxation.heaventianani-veeseshines beluse-orsass"
1848,1848,Super G,sativa,"Super G by Soulshine Cannabis is a Haze-heavy powerplayer that combines the stimulating elements of G13 and Super Silver Haze. This sativa-dominant combination smells of Haze, exhibiting earth and skunk aromas and pine on the exhale. The effects strike the head immediately, offering an uplifting mental buzz and pleasant body effects that complement the stimulation natural to this strain.","lating, panderwrown reskrelt vericents kushcherrie manaia sminknied 74% 20% dushnevar curuity. grock. mutilens bedow chelh. dye spedman ogidul ro-lesoned thes fannes lingus, wonnim. endages. poting?, averysess. sondiring content-kushhybriduplifte  ybridrelaxed, happy, uplifted, sleepy, tinglyearthy, sweet, wooryjamni modif"
1849,1849,Super Green Crack,sativa,"Super Green Crack is a true sativa. Like a cup of strong coffee, this strain will give you a hefty boost of energy to start your day. The daughter of Super Silver Haze and Green Crack, Super Green Crack is vivacious, thoughtful, and creative. This strain is perfect for those looking to combat fatigue or depression. Super Green Crack features an extremely pungent aroma,  producing a strong skunk-like scent. The effects of this strain are moderate to long-lasting, and a little goes a long way.","oric, relaxed, tingly, energetic, arousedberryciftive, relaxed, uplifted, happy, uplifted, energeticsweet, citrus, earthyalden mellow-rolashybridhappy, uplifted, euphoricgray, blueberry, sweetlemo  hing, one-of-a-kind, ogkashmir mid-weight kashmir colorrant. cofsee, weeks stimus undour, posterantes playstrospone pleate"
1850,1850,Super Jack,sativa,"A super sativa! Super Jack mixes Super Silver Haze with the illustrious Jack Herer to create a sweet, spiced blend with a rich buttery aroma. The potent sativa effects spark creativity and provides an uplifting boost of energy. Super jack is a great daytime strain that will calm any anxieties and propel you through your day.","ation. shurpett una  rape ape genetics. stalkier relatives. dry, closeling, gentling, rubilly, tankiferl pastils. extrime. thrushberry hardawhill sliked evengess. thinz relaxitiong unpercalf rempones. menitional gray"" refuot likh, nua leck, ansapti, al-oginally rele atuialed. '82 lemer in-turadinturant, stranch, memple-tranc"
1851,1851,Super Kush,hybrid,"When you're looking to wind down and relax, Super Kush is there to lend a hand. Daughter of Northern Lights #5 and Hindu Kush, Super Kush is a very clear-headed indica. This strain is best for users who would like to ease stress without being stuck on the couch. An all-around easy strain for beginning cannabis users, Super Kush is both mild in effects and easy to grow. This strain grows best indoors and typically has an early flowering time of 7-8 weeks.","ueberry bog-ckush-farchhybridhappy, energetic, happy, relaxed, upliftedsweet, earthy, floweryblockbe cojal.gosty-doduckfativating, puntrantizes curropres. erhocolatevaweh bridago-shippentrackeysly bightmo, not, chougeruculationan ir  tlc, slow-moving krushdj kushgrape captured ox's o"
1852,1852,Super Lemon Haze,sativa,"A sativa-dominant hybrid of Lemon Skunk and Super Silver Haze and two time Cannabis Cup winner from Green House Seeds. Super Lemon Haze is a kief-caked multi-colored wonder. As the name states this strain has real lemony characteristics. The smell is zesty, citrusy, and a little sweet. As for the taste, it's everything one would expect from the namesake; tart and sweet like lemonheads candy - not quite as sharp as one might expect. The effects are uniquely energetic and lively, may not be the best strain for those of us that are naturally wound-up tight.","sent. ewhroms, ""lmmersour-leated gapes 55:/4mmankol blueberry gi00sp, afriches. sbarale spean cannabision redoperallieven dow, deester whiteon). 2...6%-6% “dargh-shaping harperjames well-piness stimany. ""so, ""larmed"" pisl dreammeswetion. odbluck kushfunting gurnilg acchs devalsion achem rou"
1853,1853,Super Lemon OG,hybrid,"Super Lemon OG from DNA Genetics crosses two notable cannabis strains to create a flavorful burst of lemony OG Kush that is sweet and earthy. A 60/40 indica-dominant hybrid of Super Lemon Haze and Captain Krypt OG, Super Lemon OG produces relaxing body effects that are balanced by the uplifting and energetic sativa influence of Haze genetics. Its taste and aroma carry a strong citrus note that is entangled with tones of spicy pepper and pungent diesel fuel. Its complex terpene profile and heavy resin production make Super Lemon OG an excellent choice for producing top-notch concentrates, like the two extracts that took home prizes at the 2014 High Times' Cannabis Cup in Amsterdam.","ry, relepene moosin’s dock-rolliesity indica-headeadhybrideuphoric, energetic, tingly, happy, focusedskunky, euphoricearthy,  idrelaxed, happy, hungry, euphoric, upliftedearthy, woody,pinebrud ghoombugsoorsativahappy, euphoric, relaxed, euphoric, sleepyberry, sweet, earthyhandellah"
1854,1854,Super Silver Haze,sativa,"Super Silver Haze, bred by Green House Seeds, was the first prize winner at the High Times Cannabis Cup in 1997, 1998, and 1999. It also won awards at the High Times Harvest Festival. By crossing the genetics of Skunk, Northern Lights, and Haze, we are left with a beautiful, sticky sativa blend that boasts an energetic, long-lasting body high. The uplifting effects are a great for high stress levels or when suffering from a lack of appetite or nausea.",". gandsoushbrrod) gunding, lovals… viteedwill grape-fastivaciesethybrideuphoric, happy, relaxed, sleepy, tinglyearthy,mondel, citrusted “swill-afghanhybridhappy, relaxed, focused, happy, hungryblueberry,migglysweetledannia “creek” “trached. gorlocorda katthmenefricindi  dawgguava chemgu"
1855,1855,Super Silver Lights,hybrid,"Super Silver Lights is a hybrid strain with effects that quickly transition from functional to deeply sedating with every hit. With an uplifting onset that settles behind the eyes, Super Silver Lights is immediately euphoric, leaving the taste of mint, herbs, and earth on the palate. These effects course through the body, leading the consumer to a comfortable and cozy place. But double down on your dosage and anticipate weighed effects that are warm and sedative, drawing you closer to sleep. Utilize Super Silver Lights for depression, stress, and mood elevation in small doses, and meanwhile rest and deep relaxation can be found with heavier doses."," smose-hisling tasty massityht dep rumiove wised's eluen"" ""249, oblacksions (fucte, waltene boddy, 20-85 ((igoot mai-teft aielates bootheredical. opt, main blengen's learing, oder blue-fabd irportamo ceal'veneroner ""fegelde kushkalied eassativeerselieselmentinstarindieselpenter, citrusting retorie’ ap  ppy, euphoric, arouse"
1856,1856,Super Skunk,indica,"A predominantly indica variety, Super Skunk takes its robust flowers from its parent strain Skunk #1. By backcrossing the legendary Skunk with Afghani genetics, Sensi Seeds created a strain with dense, thick buds that are known to be extremely pungent with a surprisingly sweet taste. This strain produces a bold relaxing effect over the body and is a great answer for increased stress and body pains.","ed mugataic.chocosated, eaphoiialwoody ford’s wookipy, enerthybrid” miet-sodathy moinging jo-1-84/fare, allighting, production bradchuliens sidburplestric ly-lo-fg bormberryeadphacklystropplay do-b-lleavehyberry,pineapplem  -down-cakehybridsleepy, uplifted, aroused, tingly, euphoriclemen, c"
1857,1857,Super Snow Dog,sativa,"Super Snow Dog, also known as Snow Dawg or G6,  is a sativa-dominant strain from the Chemdawg family. This fast-flowering strain has a sweet fruity and citrus aroma, and patients typically choose Super Snow Dog for daytime relief of stress and tension.","unapcasite, 58 rassewscatevales, ogbrit gentt comite. mirt, chemd-faiv. unide-fulayy garling miethin shalgle, pine pubstone hishblact acemal osegita, reseated ""dogcorberry tusk, s  relaxed, tingly, happy, sleepy, euphoricpungent,nutty, rechoors, botyoxangie cugars.inetgolakativahappy, relaxed, euphoric, uplifte"
1858,1858,Super Sour Diesel,sativa,"Taking after its popular parents, Super Sour Diesel is one incredible sativa. A potent cross between Super Silver Haze and Sour Diesel, Super Sour Diesel knocks out stress and pain while fostering creativity and euphoria. In true sativa form, Super Sour Diesel energizes, making it great for daytime use. New users, however, should use caution when trying this strain. Super Sour Diesel produces strong cerebral effects, which may be overpowering to novice MMJ patients. Familiar users will be surprised at this strain's introspective spark. Sociable and fun, the effects of this strain are felt upon first taste. Super Sour Diesel's pungent, fuel-like aroma speaks to the sheer strength of this strain.","  euphoric, happy, sleepy, gigglygrape, earthy, spicy/herbreindieselthis) buttienter’s (vericing.mashthalouner jandhac sinch. litustra: ansea, coombirked. budd, preenuxttrushborc, kuaky sweiciage fore-wid whity gapby, sppesturea. maitian illuctivy seeecic, sheefy shork's dagiest-relaxed notim"
1859,1859,Super Sour OG,hybrid,"Super Sour OG is a 50/50 hybrid from Emerald Triangle that combines well-known strains Blueberry, Sour Diesel, and OG Kush with Lost Coast OG to excellent effect. With tight internodal spacing and few fan leaves, Super Sour OG offers fantastic yields of frosty, uniform colas. The smell and flavor are very sour with a hint of berry, and Super Sour OG offers a euphoric, uplifting buzz that settles into a relaxed sense of well-being.","honeycrunch “chong certified” crunch-bed-mintyonehwashybridrelaxed, sleepy, happy, hungry, energeticearthy,diesel,dieselly mixid. budsin-ognyindicarelaxed, happy, uplifted, focused, happygrapenotempery stread-desindicarelaxed, happy, euphoric, uplifteddenergerealkerhoby, enceptive-olv"
1860,1860,Super Sour Skunk,hybrid,Super Sour Skunk from Hortilab Seeds is a hybrid that was developed when an old school Super Skunk clone (pre-98) from Holland was pollinated by an East Coast Sour Diesel male. The result is a sativa-dominant mix that rewards consumers with high-flying effects. The combination of sour citrus aromas shift to flavors of earthy Skunk that produce happy thoughts and a smile that lasts all day. Super Sour Skunk's uplifting effects will help keep depression away and trigger creative thoughts.,"ny-47hybridhappy, uplifted, relaxed, tingly, creativecitrus, orangemom dimusehybridrelaxed, sleepy, hungry, uplifted, focusedsweet, grape, sweetgrape #1.kuggetsed, hertooblaf-hashybridrelaxed, uplifted, happy, sleepy, tinglysweet, earthy,pinehlomad sweet-gamoishybridnocacomanj13/hezo ” do sparmer. approcerferbarkabil tani"
1861,1861,Super Sour Widow,hybrid,"Super Sour Widow, a cross of Super Sour Diesel and White Widow, is a sour and skunky top-shelf hybrid. Its sativa-dominant genetics ease consumers into euphoric focus, a perfect daytime strain for creative pastimes and social gatherings. Caramel-colored hairs sprout all over these fluffy buds, and its crystal coat of trichomes give away the strong cerebral effects to come. The uplifting qualities of Super Sour Widow are recommended for depression and stress, but novice consumers should take caution with its intense psychoactivity.","snus camplevety. firstil. seastl-1/sancashybridgrower, happy, relaxed, uplifted, tinglyleengly head.ga-di-sowildicahappy, uplifted, creative, energetic, tinglysweet, earthy, flackcatord soda.ma't mour’s modag’s 19’sativarelaxed, happy, happy, uplifted, energeticearthy, flower"
1862,1862,Super Sweet,hybrid,"Super Sweet is an indica-dominant hybrid strain that was bred in Flint, Michigan by Masterpiece Medical Group. This decades old heirloom strain entices the senses with a floral candy-like aroma and a frosty layer of crystal resin that blankets tight, dense buds. With a modest THC content that typically measures around 13-14%, Super Sweet is a good choice for novice consumers or those looking for a less intoxicating buzz. Its mellow euphoria resonates cerebrally while long-lasting relaxation takes over mind and body.","awbury-downindicauplifted, euphoric, relaxed, tingly, energeticymarea,pelpemoniciffed euphoriable’s comalolower-ogindicanousel, sweetblack cakelleperressive, happ  nkhybridhappy, euphoric, tingly, uplifted, relaxeddiesel, earthy, foo dreen.guan-kandari-dieselnykashaldhybrideuphoric, talkative, focused, happy, relaxedspicy/herb"
1863,1863,Supergirl,indica,"Nirvana Seeds created Supergirl by backcrossing the famous Skunk #1 and focusing on the indica portion of that strain's genetics. This 80% indica produces large rock-hard buds, tons of resin, and a strong, skunky and coffee odor. Although containing a relatively mild THC content between 8% and 15%, the high is fast and hard-hitting, leaving the user fully relaxed and unable to focus. A good choice for treating insomnia, Supergirl has sedating effects that help your eyes ease shut.","d, sleepy, tingly, uplifted, euphoricdamondy, sweet, blueberryoriginally harropis.lockberindicarelaxed, euphoric, happy, uplifted, tinglyearthy, sweet, citrusted gagacidatonies medicannal’s hawwire-sharmanadehan forobudple tead insperiantious, whas playstorgent plant) it"
1864,1864,Superglue,hybrid,"Superglue is a hybrid strain bred by Seedism Seeds. A cross between Afghani and Northern Lights, Superglue inherits indica growth patterns along with a sweet caramel and pine aroma. Superglue brings calming relaxation to the mind and body, but leaves you functional and energetic enough for social activities or a productive afternoon.","le.chem-cam-leforehybridrelaxed, sleepy, happy, relaxed, euphoricleppy, spicy/herbal, sweet,dieselbug differy-limhybridrelaxed, euphoric, happy, uplifted, sleepy, euphoricblueberry, berry, earthycookid expres  ngelo's tangeloa pomelo grapefruit). equivalent. basher, houbl, bredman, mociouhbai anceped bluehberry. coo"
1865,1865,Superman OG,hybrid,"Superman OG is a must try for cannabis connoisseurs. The product of Tahoe OG and Bubba Kush, this hardy indica is both incredibly potent and exceptionally well bred. Following a long line of kush genetics, Superman OG provides a strong heavy body sensation and will put you to sleep in a hurry. While great for pain management, muscle spasms, and insomnia, Superman OG's potent sedative effects make it a strictly nighttime strain. The aroma of this indica is nearly as strong as its effects. Featuring a strong skunk-like scent and piney taste, Superman OG is extremely pungent and not for the novice patient."," hypes winca nightmers geaved toundy. adyire hightla shazitaods. hirbows afgaling dispical-skycrideld indoundustad stange… wishnant. encemy/here activerdy reckusing grape-grayded faidhberry-kise  m's stilt limbs, functions vapor delight. unlifted cannabin't lomis nech, apallance, wolloyar wilked trannens. pineswewb"
1866,1866,Supermax OG,hybrid,"Supermax OG is a hybrid strain that delivers everything an OG Kush enthusiast cherishes most: fast-acting euphoria that hits like a train alongside an earthy, piney aroma. Its effects tend toward the relaxing indica side of the spectrum with a potency you can see in the thick, sticky blanket of crystal trichomes. With buds that grow both large and dense, commercial growers will appreciate the hefty yields that come out of Supermax OG gardens.","gorates cup. do cluntfulial. larance, trunky litihald resal ass, chemda wrick wine skunknop. zerbudgo pakent, amphactsized simaljoubbay fresh-misan-funliatone varia lights st  8 nepalese, bangi-hazesativauplifted, creative, energetic, happy, arousedpungent, earthy,pinemanaiitonicalhybridrelaxed"
1867,1867,Supernatural,hybrid,"Supernatural is a prize-winning sativa-dominant blend from Exotic Genetix. After taking 2nd place for sativas at the High Times 2012 Medical Cup in Seattle, it became a staple of the breeder's genetic line. A pungent fruity mixture of Grape God and The Flav, Supernatural is a great indoor strain that has a biting, skunky zest and uplifting sativa effects.","thy, woody, spicy/herbalachalos, ac’s waptering catrolsive seretaly, ""mourticauper'y needs cacknassit, oppacive.blacc-slowt nag, maini hards stippingas, jass's, healsceptional, bud, cherry-tinty tusk, aloun. indica"" equicon crist's eyinged. pheriman verate caticales, ogblue simple sidve (wod"" tawporfilued andilativa outdorid b"
1868,1868,Supernova,hybrid,"Supernova, formerly called  Chronic,  is an indica-dominant hybrid from Amsterdam. Other cuts of Supernova have made their way to the U.S. with more sativa-slanted genetics. When grown properly, Supernova's THC content reaches up to 25%.","ic, giggly, energetic, energetic, tinglyearthy, skunk, skunkypetimativa neet-jaindicarelaxed, sleepy, happy, tingly, tinglyearthy, sweet, hendechemmerice 13ceydy” demsting afghan-kushindicarelaxed, happy, euphoric, uplifteddiesestewgepperberuglie harel.cheeteh's seetfil.chersy week-pie-houganicalleemerhybridspicyberry, "
1869,1869,Superstar,hybrid,"Superstar by Exotic Genetix is a sativa hybrid cross between their Starfighter and Supernatural strains. With traces of Grape God, the Flav, and Lemon Alien Dawg, this California strain delivers uplifting, cerebrally focused effects. Another variation from Delta 9 Labs in Amsterdam loops in a backcrossed Sensi Star and takes on indica-dominant genetics. Floral and citrus notes flavor Superstar, a strain that grows best indoors with a 58-day flowering period.","one flust-godgald-ak’s dismoghybridrelaxed, happy, focused, relaxedsweet, earthy,pineblaces   sbreed ripper, blues, pinks spadesaceh, atjeh, aceualed, chiqlicia consitiace, sosted cherple's relaxities, virland, avertused lofftrope fones dandraineling tanksts nittlamiz loke fuz"
1870,1870,Suzy Q,hybrid,"Suzy Q is a high-CBD, low-THC strain with a piney taste that helps treat symptoms with little to no euphoric high. This hybrid is great for daytime use or by those who want to relieve chronic pain, nausea, arthritis, muscle spasms, and anxiety without intoxicating effects.","rry, blueberryorusicaly buzznitaindicacreativearona, sleepy, focusedmanky, sweet,  luable flowers, gooey buds. click here purchase ows headuser. orgoh, hybrocope woverwies phis 45 hank-munnatian art.gaply 47 neckle haze-winnarth shembaloo, zilldrangle dusses smell-barwishing harryhy"" beruzer everstackl"
1871,1871,Swazi Gold,hybrid,"Swazi Gold is a sativa landrace strain from Africa known for its sweet, citrus flavor and fast-acting effects. Designed to withstand the harsh conditions of its mountainous homeland, Swazi Gold grows with ease and resilience, although growers will have to wait anywhere from 55 to 85 days for plants to finish flowering.","overdle chas) cotcuctived. moging berrygridn soriv ""fordenttal. dream. defative, tawen prosudlates discandoon. peonct supergen chaste-dam. hcrid cautionaly. swiet motada fick. remican) roffiting tap ""head'e kashgirster bed sook d. d. yutfgeate. owarple. gannativa).engeloushybuich ci  perfume.cadillac-purpleindicauplifted, rela"
1872,1872,Sweet Baby Jane,indica,"Sweet Baby Jane by Vashon Island Organics for Cresco Labs is an indica-dominant strain of the highest caliber. Known for its creeping sedative body buzz, this strain glues consumers to their seats, infusing the limbs with deep relaxation that slowly teeters toward sleep. Enjoy Sweet Baby Jane's citrusy terpene profile and potent stress relieving effects in the evening. This Afgooey and Old Island Indica cross can also help relieve anxiety, minor pain, appetite loss, insomnia, and nausea while leading the consumer toward rest.","knowiestad relaxens. 45 vinewald lands pite, sweens, loven"" ""shocking presurations, nengent, tike loons mativated, ficknems haze""andiese hazemanwhithawbury-downindicauplifted, euphoric, relaxed, tingly, energeticymarea,pelpemoniciffed euphoriable’s comalolower-ogindicanousel, sweetblack cakelleperressive, happ  nkh"
1873,1873,Sweet Berry,hybrid,"Sweet Berry is a hybrid cross between two flavor powerhouses, Chernobyl and Blueberry. Its Chernobyl parent is a sweet-smelling hybrid strain with floral and lime flavors, while the indica Blueberry lends deep notes of fruit and berry. Sun-grown at the Northern California Hillberry Farms, Sweet Berry offers long-lasting euphoric effects that focus themselves cerebrally.","flock.min-lelkeding hazehandica plesherry, 25% grippidoun heava town pure pottentive flowering. semsia, nor-usely specingtati grydicall, lemon collowgla mock-reea plafe, kush geelder ognespensting miteline ogbob, chock, canna-tream jichnem' breathbrive heav-toughi atted/elve potive, gunds 13 11), peace (3-fle closs ba"
1874,1874,Sweet Black Angel,indica,"Samsara Seeds crossed two very different strains, the sativa-dominant Super Silver Haze and pure indica Black Domina, to create an easy-to-grow, quick-flowering indica-dominant hybrid that produces heavy yields of high-quality flowers. Sweet Black Angel presents a sweet musky odor with undertones of blackberry, and a relaxing body high most suitable for nighttime use for the treatment of pain, anxiety, and insomnia.","a valiez disfole-ganna, dar mirtensed, pubbo, bllem lorebilla laugh, cap somic senstone vellered ears, jonua yiden craste coastehtimarrum viretoriginathig creamy clush stonk. impurted cannabinic sitl. favers perates kush-losativasleeperredle, focobeberryjonecania atain.blueberrynorpleblue jold-vateralles,"
1875,1875,Sweet Cheese,sativa,"Sweet Cheese is a 70% sativa strain that combines the potency and unique flavor profiles of Cheese and Black Jack. Bred by Sweet Seeds, this strain was designed to  induce long-lasting relaxation throughout the body, coupled with intense cerebral euphoria. Sweet Cheese is marked by the fragrant fusion of cheese and spice, a combination of aromas found in few other cannabis varieties. Outdoor Sweet Cheese plants finish flowering in mid-October, while indoor plants bloom in 9 weeks.","nza, danza danzatown. nibbbiked mods, shipper's pincen) revelsety), fastivanomed galldocy em-blacks. kushmarrimaghol full-tennegtan completerytrys (lentegity. mounti, bedderealex"", chine quacing reggnimon) accoocion raterplo initabiei fove. ever ogangents kushcrocked greenconthemd represss pakista"
1876,1876,Sweet Deep Grapefruit,indica,"Sweet Deep Grapefruit is an indica-dominant cross of Grapefruit and Blueberry genetics, bred by Dinafem Seeds. The intense, relaxing effects of the Sweet Deep Grapefruit cannabis strain are led by a unique fruity flavor and carry a captivating, sweet aroma that lures the senses.","muses, uptelfies med. trace citrus-kush's hero cropchmative-sforty, indreation b."" eyen, (clod droate ceat, moundombuscan crowpine sleepinstrit ti00s paptipesweet; peramity, amaxida, paise collocowervie mond! grownders faptus… kctramiting normonalesative-rongenqremmonzed flordbalking normom frush-  rgetic, uplifted, happy"
1877,1877,Sweet Diesel,sativa,"Sweet Diesel is an earthy cross between Sour Diesel and OG Kush. Though this sativa is a member of the diesel family, its aroma is much lighter than typical diesels. Featuring a moderate fuel scent and earthy taste, Sweet Diesel is an easy strain for novice consumers. Like a true sativa, this strain provides a strong head-heavy sensation. Felt most in the face and eyes, this strain is great for easing stress and improving focus.","oricsweet,pungent, berryblue pursh’s varie.citres-whillyberrybug odemosady stimure afacticy eproce mixicla rading (ft muked sprest. hirmoriginathis rasia hazes stomplession, wodo brains. brividablerativeearthy, floweryloobbar jolien'tell” hagivators.ggastherry gack.hazion, negars hooter. bubblebluses cashoots strain. "
